30 34 41 40 26 12 21 43 31 19 24 11 35 8 22 32 31 43 26 9 9
19 55 18 31 14 39 27 22 28 30 31 19 16 67 5 58 38 24 31 37 45
41 45 46 37 39 19 52 22 41 29 64 39 74 41 46 45 47 60 52 28 10
30 25 21 22 15 28 23 33 38 44 52 35 40 26 55 32 56 62 48 47 54
30 26 43 23 12 12 20 53 46 19 36 98 9 11 10 38 29 50 76 41 43
32 56 32 53 27 19 40 48 44 32 27 51 43 8 33 68 22 33 55 39 29
44 25 30 26 10 26 47 55 44 43 52 29 75 29 19 32 27 19 14 29 27
46 53 37 70 32 12 61 33 49 10 37 23 12 48 50 35 40 7 53 46 25
11 28 28 47 13 68 20 31 23 38 38 36 73 44 70 20 7 23 39 9 30
37 11 35 25 26 66 26 67 55 18 6 63 58 28 26 37 24 33 18 24 32
28 15 47 52 35 29 26 36 25 40 17 67 63 45 19 11 21 34 24 23 26
43 13 36 37 52 8 28 33 37 35 45 17 25 55 64 16 16 37 33 18 15
17 17 29 14 29 24 26 37 53 14 9 15 30 40 29 42 48 34 22 34 27
43 21 47 29 33 40 36 26 46 22 49 56 48 54 16 32 33 8 21 47 67
8 47 57 41 39 33 27 40 49 37 40 12 38 40 21 28 25 63 22 44 42
43 38 34 22 51 16 56 69 30 30 39 16 29 57 27 34 42 28 56 13 46
40 35 18 9 27 32 15 45 9 32 7 39 61 56 49 22 22 43 48 37 16
43 31 66 22 44 39 62 20 46 24 27 19 47 37 54 12 61 21 19 17 52
23 56 7 38 42 18 37 28 53 37 18 12 85 16 20 44 44 22 20 33 14
19 22 14 7 24 24 34 27 17 26 41 56 17 26 26 39 19 29 21 4 19
43 26 18 19 49 48 39 51 30 33 31 10 30 36 14 46 17 28 46 35 60
20 15 19 43 39 32 51 57 46 36 39 49 32 9 35 44 54 32 21 37 33
28 28 57 40 12 35 29 25 35 29 33 22 60 59 49 34 51 38 21 74 44
17 40 46 7 21 18 25 28 41 19 51 55 27 69 36 60 35 20 57 21 15
73 22 36 11 48 30 28 35 69 31 42 26 39 81 39 36 35 39 7 17 55
21 17 26 93 35 25 17 26 17 36 33 31 32 48 19 34 25 51 54 16 33
11 43 45 44 29 12 43 50 26 36 45 32 39 22 62 27 58 29 22 36 34
38 14 27 51 32 60 7 91 43 33 54 43 56 28 42 49 26 14 57 48 8
11 28 35 11 51 38 20 6 33 52 10 26 45 42 46 40 85 43 50 30 29
50 16 26 33 37 31 12 59 37 32 25 24 61 27 12 65 63 59 34 21 27
9 8 19 16 33 55 39 32 48 60 23 56 75 7 30 40 53 45 22 44 76
28 22 9 58 31 18 63 24 54 14 12 40 24 22 28 26 25 7 54 21 7
75 37 52 19 5 16 40 27 33 17 41 42 26 35 20 49 26 29 36 52 59
53 37 16 31 53 44 28 24 22 33 43 21 59 44 54 37 49 25 15 32 30
32 47 61 45 27 7 49 53 49 24 29 48 10 39 33 44 60 21 20 28 79
24 18 34 30 22 48 19 76 40 26 32 46 21 52 22 35 41 27 54 41 16
24 51 25 45 26 51 37 25 40 47 30 43 56 17 22 36 45 52 68 35 22
53 42 33 47 60 17 32 38 6 18 25 24 62 45 32 33 16 26 17 46 18
32 11 31 35 28 23 34 19 19 48 47 12 43 28 35 31 21 82 43 39 10
16 23 28 25 53 25 54 44 37 31 45 35 35 68 59 29 28 47 39 27 23
24 17 29 28 35 35 54 36 19 17 37 19 44 9 15 15 25 22 74 36 75
51 12 25 35 66 41 17 21 21 54 26 20 55 51 33 51 29 31 81 37 25
16 17 68 9 19 49 24 23 23 43 17 25 63 47 16 61 44 25 85 35 25
26 58 37 31 39 5 67 17 39 19 28 25 29 39 70 82 17 39 31 54 33
39 32 41 45 4 11 83 53 34 6 50 41 74 23 30 60 9 69 36 34 45
24 4 9 11 39 27 9 26 14 28 27 36 51 43 26 14 46 69 44 39 29
29 69 32 7 40 33 38 45 41 46 36 26 56 35 24 21 21 64 3 24 64
34 12 34 47 29 36 39 25 29 18 39 37 14 30 19 65 30 35 37 40 33
41 64 59 23 32 35 17 32 52 35 4 41 72 24 46 20 57 15 18 57 22
23 38 37 20 33 47 36 15 35 28 48 34 25 46 16 54 25 17 23 22 56
51 64 45 15 57 25 11 46 8 26 56 26 34 21 16 50 56 35 31 37 45
55 41 41 28 29 36 14 29 23 52 22 32 20 11 59 23 28 20 39 50 52
36 24 26 25 48 25 29 15 26 83 58 37 38 31 44 42 50 53 32 54 28
39 46 32 55 46 55 14 49 62 45 42 24 35 27 53 24 21 47 36 34 19
79 32 38 49 46 32 42 69 27 54 41 17 62 44 58 34 17 18 16 44 12
67 11 31 41 57 18 19 23 29 38 36 29 44 39 27 15 8 74 20 16 23
9 31 29 64 60 38 21 30 60 12 64 71 21 81 37 32 66 34 23 51 51
23 9 5 65 27 49 17 18 43 62 14 22 31 7 42 8 18 30 44 81 21
42 44 58 23 14 22 37 17 17 104 35 23 17 6 39 24 34 40 30 6 73
6 12 16 28 12 36 30 30 24 17 16 49 41 22 19 40 33 39 12 34 47
52 30 36 13 13 51 33 64 36 20 30 51 13 32 22 20 27 40 17 67 89
32 38 47 9 21 11 43 28 36 8 52 37 31 36 31 32 55 25 40 69 63
46 22 35 68 35 28 19 51 16 34 5 50 35 13 12 35 54 38 15 45 29
53 26 14 55 27 73 21 9 30 70 32 31 32 46 51 26 9 28 20 26 43
8 67 30 25 23 57 33 37 50 23 59 5 47 45 21 39 33 22 36 50 10
24 37 31 32 30 30 28 13 47 23 24 25 34 44 37 9 52 18 11 30 45
18 30 22 29 23 40 29 29 38 21 57 34 28 42 47 35 63 50 34 56 54
56 47 49 35 30 11 21 39 31 41 40 60 51 13 46 44 42 43 43 3 18
55 17 46 58 46 39 39 14 34 15 41 98 52 23 69 58 19 40 10 28 59
42 36 50 63 18 66 13 23 37 24 4 87 16 70 35 25 20 40 18 22 56
38 53 56 58 44 29 38 38 47 38 27 48 50 15 17 23 29 55 25 31 73
71 13 23 43 25 13 45 28 32 52 56 22 21 32 23 42 63 69 29 59 33
34 20 29 85 23 42 23 34 15 21 58 21 24 38 42 46 70 55 49 46 48
48 4 16 63 36 36 58 25 40 35 18 28 49 38 41 65 29 21 17 23 61
22 55 17 10 14 61 41 33 51 39 13 56 38 34 44 56 26 30 47 34 14
44 15 54 43 27 23 54 19 43 22 72 49 51 22 34 26 25 22 38 23 53
30 28 12 30 40 36 22 42 56 42 25 6 18 13 8 57 23 25 34 42 35
31 23 40 35 68 48 15 43 12 12 54 77 53 45 41 27 24 12 32 10 37
29 22 29 34 57 41 29 19 24 37 45 45 11 73 55 48 36 35 31 59 60
25 43 51 41 43 26 34 44 50 26 59 19 32 69 14 64 52 52 53 37 70
7 35 27 32 23 27 41 22 54 57 25 9 21 39 25 36 20 30 66 38 55
18 18 37 26 16 28 27 64 29 12 22 50 10 44 21 30 33 34 23 17 55
32 31 40 32 22 47 25 54 16 21 32 34 48 18 41 26 17 4 63 30 54
44 29 21 25 53 27 40 54 24 22 23 51 26 19 39 17 47 28 19 26 47
37 3 16 8 11 26 33 47 31 63 26 50 39 10 41 33 28 16 20 38 25
12 37 39 22 35 38 25 42 15 40 20 30 26 31 17 45 18 21 74 56 28
34 7 48 27 24 19 86 51 11 26 19 29 26 59 8 41 25 69 44 47 23
4 29 9 63 13 45 19 45 25 30 15 46 71 46 88 37 33 8 55 31 19
24 44 8 13 17 23 37 16 18 30 60 38 51 35 35 37 48 62 41 17 67
